candidate_id,title,location,hire_flag,country,education_id,has_degree
2816,software development professional - entrepreneur,"Belgrade, Centralna Srbija, Serbia",0,Serbia,1456.0,1
2818,freelance android and flutter developer,"Barcelona, Catalonia, Spain",0,Spain,1459.0,1
2818,freelance android and flutter developer,"Barcelona, Catalonia, Spain",0,Spain,1460.0,1
2819,senior software engineer at toptal,"New Belgrade, Centralna Srbija, Serbia",0,Serbia,1461.0,1
2819,senior software engineer at toptal,"New Belgrade, Centralna Srbija, Serbia",0,Serbia,1462.0,1
2819,senior software engineer at toptal,"New Belgrade, Centralna Srbija, Serbia",0,Serbia,1463.0,1
2820,"freelance developer, toptal developer, owner at inqui","Zagreb, Grad Zagreb, Croatia",0,Croatia,1464.0,1
2820,"freelance developer, toptal developer, owner at inqui","Zagreb, Grad Zagreb, Croatia",0,Croatia,1465.0,1
2821,self-employed freelance contractor and consultant at cita d.o.o.,"Višnjevac, Osijek-Baranja, Croatia",0,Croatia,1466.0,1
46382,senior software engineer @ internal project na thoughtworks,"Porto Alegre, Rio Grande do Sul, Brazil",0,Brazil,98800.0,1
2823,principal ios engineer,Cayman Islands,0,Cayman Islands,1470.0,1
2823,principal ios engineer,Cayman Islands,0,Cayman Islands,1471.0,1
2823,principal ios engineer,Cayman Islands,0,Cayman Islands,1472.0,1
2824,ux designer | product designer | speaker | mentor,"Helsinki, Southern Finland, Finland",0,Finland,1473.0,1
2824,ux designer | product designer | speaker | mentor,"Helsinki, Southern Finland, Finland",0,Finland,1474.0,1
2825,co-founder cto at widemesh,"Turbo, Antioquia, Colombia",0,Colombia,1475.0,1
38709,"react developer at maniak, a butchershop company","Guaymas, Sonora, Mexico",0,Mexico,82465.0,1
6874,senior devops engineer at resolvit,"Buenos Aires, Buenos Aires Province, Argentina",0,Argentina,10287.0,1
2827,full stack web developer (at toptal),"Rockville, Maryland, United States",0,United States,1477.0,1
2828,senior software engineer,"Warsaw, Mazowieckie, Poland",0,Poland,1478.0,1
2828,senior software engineer,"Warsaw, Mazowieckie, Poland",0,Poland,1479.0,1
2829,full-stack developer at toptal.,"Tallinn, Harjumaa, Estonia",0,Estonia,1480.0,1
20061,tech recruiter @nubank (he/ele),"Joinville, Santa Catarina, Brazil",0,Brazil,39926.0,1
20061,tech recruiter @nubank (he/ele),"Joinville, Santa Catarina, Brazil",0,Brazil,39927.0,1
2831,software engineer at cisco,"Prague, Prague, Czech Republic",0,Czech Republic,1483.0,1
2832,sr. software developer and technical leader (toptal contractor),"Montreal, Quebec, Canada",0,Canada,1484.0,1
2833,web apps developer / freelancer,"Zagreb, Grad Zagreb, Croatia",0,Croatia,1485.0,1
2833,web apps developer / freelancer,"Zagreb, Grad Zagreb, Croatia",0,Croatia,1486.0,1
2833,web apps developer / freelancer,"Zagreb, Grad Zagreb, Croatia",0,Croatia,1487.0,1
2834,ezlinks via toptal at ezlinks golf llc,Indonesia,0,Indonesia,1488.0,1
2835,software engineer at toptal,"Surfers Paradise, Queensland, Australia",0,Australia,1489.0,1
32028,software development engineer @ mercado libre,"Buenos Aires, Buenos Aires Province, Argentina",0,Argentina,67977.0,1
32028,software development engineer @ mercado libre,"Buenos Aires, Buenos Aires Province, Argentina",0,Argentina,67978.0,1
2836,data science innovator | math ph.d.,"New York, New York, United States",0,United States,1490.0,1
2836,data science innovator | math ph.d.,"New York, New York, United States",0,United States,1491.0,1
2837,co-founder and lead android developer na hydradev,Portugal,0,Portugal,1492.0,1
8299,it hr business partner at boehringer ingelheim,Argentina,0,Argentina,13566.0,1
8299,it hr business partner at boehringer ingelheim,Argentina,0,Argentina,13567.0,1
8299,it hr business partner at boehringer ingelheim,Argentina,0,Argentina,13568.0,1
2839,helping businesses build better software,Other,0,Other,1495.0,1
2839,helping businesses build better software,Other,0,Other,1496.0,1
2840,senior ios engineer (contractor) at imgur,"Centar Municipality, Skopski, FYRO Macedonia",0,FYRO Macedonia,1497.0,1
2840,senior ios engineer (contractor) at imgur,"Centar Municipality, Skopski, FYRO Macedonia",0,FYRO Macedonia,1498.0,1
37206,react native developer en norte marketing,"Mexico City, Mexico",0,Mexico,79454.0,1
2842,"cto, timelineapp tech limited",Argentina,0,Argentina,1500.0,1
2844,design researcher bij jungle minds,"Amsterdam, North Holland, Netherlands",0,Netherlands,1503.0,1
2844,design researcher bij jungle minds,"Amsterdam, North Holland, Netherlands",0,Netherlands,1504.0,1
2844,design researcher bij jungle minds,"Amsterdam, North Holland, Netherlands",0,Netherlands,1505.0,1
26071,software engineer at bairesdev,"Rio de Janeiro, Rio de Janeiro, Brazil",0,Brazil,54221.0,1
26071,software engineer at bairesdev,"Rio de Janeiro, Rio de Janeiro, Brazil",0,Brazil,54222.0,1
26071,software engineer at bairesdev,"Rio de Janeiro, Rio de Janeiro, Brazil",0,Brazil,54223.0,1
12778,data scientist,"Buenos Aires, Buenos Aires Province, Argentina",0,Argentina,23473.0,1
12778,data scientist,"Buenos Aires, Buenos Aires Province, Argentina",0,Argentina,23474.0,1
12778,data scientist,"Buenos Aires, Buenos Aires Province, Argentina",0,Argentina,23475.0,1
8222,staff software engineer at google,"Seattle, Washington, United States",0,United States,13387.0,1
8222,staff software engineer at google,"Seattle, Washington, United States",0,United States,13388.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23508.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23509.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23510.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23511.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23512.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23513.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23514.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23515.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23516.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23517.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23518.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23519.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23520.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23521.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23522.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,23523.0,1
12800,it manager at @naranja x | solutions architect,"Cordoba, Cordoba, Argentina",0,Argentina,100962.0,1
2846,senior software engineer at accredible,Egypt,0,Egypt,1508.0,1
2847,finance professional / insurtech / distribution / growth,"New York, New York, United States",0,United States,1509.0,1
2847,finance professional / insurtech / distribution / growth,"New York, New York, United States",0,United States,1510.0,1
2847,finance professional / insurtech / distribution / growth,"New York, New York, United States",0,United States,1511.0,1
2848,blockchain engineeer & cryptopreneur,"Sydney, New South Wales, Australia",0,Australia,1512.0,1
2848,blockchain engineeer & cryptopreneur,"Sydney, New South Wales, Australia",0,Australia,1513.0,1
2848,blockchain engineeer & cryptopreneur,"Sydney, New South Wales, Australia",0,Australia,1514.0,1
2849,software engineer / ceo at furqan software,Bangladesh,0,Bangladesh,1515.0,1
